atts,setup,enc,keygen,dec,dec3,dec2
1,15628,15599,2335,6202,6866,6344
2,16629,15896,4948,18277,19307,20545
3,17623,16468,7414,30738,33092,31795
4,17150,17070,9790,37573,36192,32600
5,17625,17657,12150,45141,34768,34284
6,18284,18230,14659,51961,34901,34163
7,18881,19175,17181,58215,25202,34261
8,19674,19387,19575,64578,24907,34060
9,20088,19935,21988,76651,24445,46365
10,20627,20512,24512,83551,25003,47136
11,21230,21169,26814,90152,25107,46864
12,21887,22267,29138,96529,25185,46129
13,22674,22279,31816,108341,24471,58791
14,23029,22897,34854,116236,24584,59223
15,23603,23671,36728,120277,24912,58924
16,24270,24329,39389,128293,30275,69875
17,25309,24659,41619,135884,31280,69667
18,25387,25326,43908,148162,31160,68399
19,25959,25829,46219,155896,32093,71867
20,26863,26718,48784,167992,30952,86841
21,27477,26836,51513,173679,30907,80270
22,27803,27568,53682,181565,30994,81455
23,28392,28174,56262,192043,49291,94517
24,29297,29010,58503,205460,50165,94952
25,29595,29283,61096,211382,51476,92994
26,30377,29921,63696,224173,54699,93742
27,30840,30735,66247,232805,53159,92239
28,31765,31427,71439,253909,55443,92361
29,31986,31750,71591,255501,53379,93597
30,32577,32399,73994,270404,54874,92679
