atts,setup,enc,keygen,dec
1,3982539,3990102,636877,1675165
2,4151451,4163018,1348289,5065374
3,4281167,4299788,1915709,7270935
4,4448474,4434281,2631073,10254635
5,4604377,4548384,3285520,12474939
6,4726386,4742611,3804446,15466192
7,4948942,4869819,4672726,17710564
8,5042606,5027266,5127847,20714752
9,5214529,5200763,5881549,22962137
10,5368155,5362472,6529914,26000107
11,5524663,5471348,7201651,28261184
12,5705005,5697420,7819058,31286872
13,5825533,5837268,8419029,33573877
14,5974344,5901719,9220785,36581659
15,6139707,6140728,9866819,38913342
16,6350533,6199159,10519722,41889504
17,6485374,6445633,11178428,44249678
18,6615287,6577258,11674513,47329700
19,6770229,6709244,12370074,49677681
20,6922651,6847023,13144014,52697920
21,7023667,6984194,13478635,55092670
22,7232338,7111964,14289013,58181793
23,7384436,7391944,15074014,60583176
24,7555838,7521378,15538308,63693210
25,7703159,7475698,16329251,66051503
26,7867370,7771012,16907906,69135514
27,7981483,7882233,17485580,71592375
28,8152378,8031491,18270147,74625769
29,8302372,8142569,18797591,77123500
30,8467751,8437657,19484231,80260010
