atts,setup,enc,keygen,dec
1,1862,1260,12,630
2,2682,1757,34,2377
3,3284,2528,53,3604
4,3857,3037,73,4816
5,4138,3535,94,6007
6,4785,4111,114,7252
7,5333,4790,135,8608
8,5852,5339,157,9822
9,6484,5908,182,11336
10,7010,6475,204,12542
11,7661,6998,230,13836
12,8231,7733,249,15195
13,8820,8272,278,16577
14,9474,8880,300,17949
15,9969,9317,326,19384
16,10560,9902,360,20847
17,11128,10763,382,22517
18,11750,11547,409,23696
19,12266,11611,436,25207
20,12969,12051,469,28319
21,13499,12930,499,28358
22,14091,13336,575,31426
23,14656,13911,558,32147
24,15218,14627,621,34295
25,15780,15028,623,34599
26,16322,15446,654,36183
27,17082,16315,689,37754
28,17574,16791,720,39407
29,18129,17482,759,41060
30,18842,17787,791,42919
