atts,setup,enc,keygen,dec
1,468671,314317,3632,149937
2,623327,464650,14159,624450
3,775185,634799,22001,929718
4,921873,769236,30112,1242005
5,1072772,943966,38244,1577820
6,1229339,1096888,46524,1891802
7,1390978,1250966,55189,2210124
8,1566185,1393349,63735,2501051
9,1758148,1557100,72592,2907834
10,1872377,1714630,81791,3222667
11,2041773,1848257,90876,3580591
12,2157103,1982935,100293,3943453
13,2343656,2216821,109666,4339237
14,2451572,2358166,119585,4690550
15,2618060,2502518,129084,5025935
16,2787960,2606770,139249,5429847
17,2952888,2767298,149381,5786364
18,3125898,2931027,159428,6139185
19,3243180,3114188,170115,6552526
20,3430767,3268082,180898,6989588
21,3616823,3392742,191515,7374191
22,3756590,3439190,202692,7786261
23,3864729,3603058,213771,8228838
24,4049087,3828475,225368,8613664
25,4268314,4082102,236780,9036865
26,4356739,4168779,248053,9417989
27,4563128,4331345,260190,9903776
28,4707000,4464778,272335,10354355
29,4835705,4632785,284210,10723010
30,4956613,4820638,296896,11278726
